植物中文名,中文学名,拉丁名,科名,生活型,观赏特性,花期,果期,其它用途,国内分布,国外分布,其它有用信息
黄槿,黄槿,Talipariti tiliaceum (L.) Fryxell,锦葵科,乔木,观花/观叶,全年,全年,园林绿化、防风固沙、海岸防护林；树皮纤维可制绳索,广东、广西、海南、台湾、福建,热带亚洲、太平洋诸岛,生于海岸沙地或近海低地
发财树,光瓜栗,Pachira glabra Pasq.,锦葵科,乔木,观叶/观株型,5-11月,9-12月,庭院观赏、室内盆栽观赏,广东、海南有栽培,墨西哥、中美洲,生于热带湿润地区
白兰,白兰,Michelia alba DC.,木兰科,乔木,观花,4-9月,8-11月,园林绿化、庭园观赏；花可提取香精；花可药用,广东、广西、福建、台湾、云南有栽培,印度尼西亚、菲律宾,生于温暖湿润的环境中
紫玉兰,紫玉兰,Yulania liliflora (Desr.) D. L. Fu,木兰科,乔木/灌木,观花,3-4月,8-9月,园林绿化、庭园观赏；花蕾可药用（辛夷）,福建、湖北、四川、云南等地,无,生于海拔300-1600米的山坡林中
白玉兰,玉兰,Yulania denudata (Desr.) D. L. Fu,木兰科,乔木,观花,2-3月,8-9月,园林绿化、庭园观赏；花可提取香精；花蕾可药用,安徽、浙江、江西、湖南、广东等地广泛栽培,无,生于海拔500-1000米的山坡林中
荷花玉兰,荷花木兰,Magnolia grandiflora L.,木兰科,乔木,观花/观叶,5-6月,9-10月,园林绿化、行道树、庭荫树,长江流域以南各地广泛栽培,美国东南部,生于温暖湿润的环境中
波罗蜜,波罗蜜,Artocarpus heterophyllus Lam.,桑科,乔木,观叶/观果,2-3月,6-11月,果树栽培；果实可食；木材可作家具,广东、广西、海南、云南、福建、台湾,印度、马来西亚、印度尼西亚,生于热带低地
红桂木,桂木,Artocarpus parvus Gagnep.,桑科,乔木,观叶/观果,4-5月,6-8月,园林绿化；果实可食；木材可作建筑用材,广东、广西、海南、云南,越南、泰国、马来西亚、印度,生于山地密林中或沟谷湿润处
印度紫檀,紫檀,Pterocarpus indicus Willd.,豆科,乔木,观花/观叶,4-5月,8-10月,园林绿化、行道树；木材极为珍贵可作高档家具,广东、广西、云南、海南有栽培,印度、缅甸、菲律宾、马来西亚,生于热带季雨林中
枫香,枫香树,Liquidambar formosana Hance,金缕梅科,乔木,观叶,3-4月,10-11月,园林绿化、行道树；树脂可药用；木材可作建筑用材,秦岭及淮河以南各地,朝鲜南部、日本、越南、老挝,生于海拔220-2000米的山地常绿阔叶林中
阿江榄仁,阿江榄仁,Terminalia arjuna (Roxb. ex DC.) Wight et Arn.,使君子科,乔木,观叶/观株型,4-5月,9-11月,园林绿化、行道树、庭荫树；树皮可药用,广东、广西、云南有引种栽培,印度、缅甸、斯里兰卡,生于河岸及平原地带
大王椰子,大王椰,Roystonea regia (Kunth) O.F. Cook,棕榈科,乔木,观叶/观株型,4-6月,9-12月,园林绿化、行道树,广东、海南、台湾、福建有栽培,古巴、牙买加、巴拿马,生于热带地区
三角椰子,三角椰,Dypsis decaryi (Jum.) Beentje & J. Dransf.,棕榈科,乔木,观叶/观株型,7-9月,10-12月,园林绿化、庭园观赏,广东、海南、云南、福建有栽培,马达加斯加,生于热带地区
鱼骨葵,鱼骨葵,Arenga tremula (Blanco) Becc.,棕榈科,乔木,观叶/观株型,5-7月,10-12月,园林绿化、庭园观赏,广东、海南、云南、台湾有栽培,中美洲、南美洲热带地区,生于热带地区
蒲葵,蒲葵,Livistona chinensis (Jacq.) R. Br. ex Mart.,棕榈科,乔木,观叶/观株型,4-5月,9-10月,园林绿化、庭园观赏；叶可制扇,广东、广西、海南、福建、台湾、云南,日本南部,生于丘陵、沟谷及村旁
假槟榔,假槟榔,Archontophoenix alexandrae (F. Muell.) H. Wendl. et Drude,棕榈科,乔木,观叶/观株型,5-6月,10-12月,园林绿化、行道树,广东、海南、台湾、福建有栽培,澳大利亚,生于热带地区
黄粱木,团花,Neolamarckia cadamba (Roxb.) Bosser,茜草科,乔木,观花/观叶,6-7月,10-12月,园林绿化；木材轻软可作包装箱板,云南、广西,印度、缅甸、泰国、马来西亚、印度尼西亚,生于热带沟谷雨林及河边湿润地
鱼尾葵,鱼尾葵,Caryota maxima Blume ex Mart.,棕榈科,乔木,观叶/观株型,5-7月,10-12月,园林绿化、庭园观赏,广东、广西、海南、云南、台湾,印度、缅甸、泰国、马来西亚,生于热带及亚热带密林中
短序鱼尾葵,短穗鱼尾葵,Caryota mitis Lour.,棕榈科,乔木/灌木,观叶/观株型,5-7月,10-12月,园林绿化、庭园观赏、盆栽,广东、广西、海南、云南、台湾,印度、缅甸、泰国、马来西亚,生于热带及亚热带密林中
狐尾椰子,狐尾椰,Wodyetia bifurcata A. K. Irvine,棕榈科,乔木,观叶/观株型,6-8月,11月至翌年1月,园林绿化、庭园观赏、行道树,广东、海南、福建、台湾有栽培,澳大利亚,生于热带地区
丝葵,丝葵,Washingtonia filifera (Lindl. ex Andre) H. Wendl.,棕榈科,乔木,观叶/观株型,5-7月,9-11月,园林绿化、行道树,广东、福建、台湾、云南有栽培,美国加利福尼亚、墨西哥,生于干热地区
桃,桃,Prunus persica (L.) Batsch,蔷薇科,乔木/灌木,观花/观果,3-4月,6-9月,果树栽培；果实可食；花可观赏；种仁可药用,全国各地广泛栽培,伊朗、阿富汗,生于海拔800-1200米的山坡、沟谷及田间
蒲桃,蒲桃,Syzygium jambos (L.) Alston,桃金娘科,乔木,观花/观果,3-4月,5-6月,园林绿化、庭园观赏；果实可食,广东、广西、福建、台湾、云南、海南,印度、马来西亚、印度尼西亚,生于河边及河谷湿润地
洋蒲桃,莲雾,Syzygium samarangense (Bl.) Merr. et Perry,桃金娘科,乔木,观花/观果,3-5月,5-7月,果树栽培；果实可食；庭园观赏,广东、海南、台湾、福建、广西、云南有栽培,马来西亚、印度尼西亚,生于热带及亚热带地区
枸骨冬青,枸骨,Ilex cornuta Lindl. et Paxton,冬青科,乔木/灌木,观叶/观果,4-5月,10-12月,园林绿化、绿篱；叶可药用；果实可供鸟类食用,长江中下游各省,朝鲜,生于海拔150-1900米的山坡、林缘及灌丛中
海南红豆,海南红豆,Ormosia pinnata (Lour.) Merr.,豆科,乔木,观叶/观果,5-6月,10-11月,园林绿化；木材坚硬可作家具；种子红色可作饰品,海南、广东、广西、云南,越南,生于热带低山密林中
大花第伦桃,大花五桠果,Dillenia turbinata Finet et Gagnep.,五桠果科,乔木,观花/观叶/观果,6-8月,10-12月,园林绿化、庭园观赏,云南南部,印度、缅甸、泰国、越南、马来西亚,生于海拔600米以下的低山沟谷湿润处
南洋楹,南洋楹,Falcataria falcata (L.) Greuter & R. Rankin,豆科,乔木,观叶/观株型,5-6月,8-10月,园林绿化、行道树、庭荫树；速生用材树种,广东、广西、海南、云南、福建有栽培,东南亚、大洋洲,生于热带低地
芒果,杧果,Mangifera indica L.,漆树科,乔木,观花/观果,2-3月,5-7月,果树栽培；果实为著名热带水果；木材可作建筑用材,广东、广西、海南、云南、福建、台湾、四川,印度、缅甸、泰国、越南、马来西亚,生于热带低海拔地区
青果榕,杂色榕,Ficus variegata Bl. var. chlorocarpa (Benth.) King,桑科,乔木,观叶/观果,4-7月,5-9月,园林绿化；果实可食,广东、广西、海南、云南、福建、台湾、浙江、贵州,印度、缅甸、泰国、马来西亚、印度尼西亚、澳大利亚,生于海拔100-1800米的山谷沟边密林中
越南榆,越南榆,Ulmus lanceifolia Roxb.,榆科,乔木,观叶/观株型,2-3月,3-4月,园林绿化、行道树；木材可作建筑用材,广东、广西、云南、海南,越南、老挝、泰国、柬埔寨,生于热带沟谷雨林及石灰岩山地
番石榴,番石榴,Psidium guajava L.,桃金娘科,乔木/灌木,观花/观果,3-5月,8-11月,果树栽培；果实可食可加工；叶可药用,广东、广西、海南、福建、台湾、云南、四川,热带美洲,生于荒地及低丘陵上
鸡蛋花,白花鸡蛋花,Plumeria alba L.,夹竹桃科,乔木,观花,5-10月,7-12月,园林绿化、庭园观赏；花可药用；花可提取香精,广东、广西、海南、云南、福建有栽培,热带美洲、西印度群岛,生于热带地区
红花鸡蛋花,鸡蛋花,Plumeria rubra L.,夹竹桃科,乔木,观花,5-10月,7-12月,园林绿化、庭园观赏；花可药用、可提取香精,广东、广西、海南、云南、福建有栽培,墨西哥、中美洲、委内瑞拉,生于热带地区
对叶榕,对叶榕,Ficus hispida L. f.,桑科,乔木/灌木,观叶/观果,4-5月,6-9月,园林绿化；果实可食,广东、广西、海南、云南、贵州、台湾、福建,印度、缅甸、泰国、越南、马来西亚,生于沟谷潮湿处及路旁
黄花夹竹桃,黄花夹竹桃,Thevetia peruviana (Pers.) K. Schum.,夹竹桃科,乔木/灌木,观花,3-12月,8-12月,园林绿化、庭园观赏（全株有毒）,广东、广西、海南、云南、福建、台湾有栽培,热带美洲,生于热带地区
凤凰木,凤凰木,Delonix regia (Boj. ex Hook.) Raf.,豆科,乔木,观花,5-7月,8-10月,园林绿化、行道树、庭荫树,广东、广西、海南、福建、台湾、云南有栽培,马达加斯加,生于热带地区
椰子,椰子,Cocos nucifera L.,棕榈科,乔木,观株型/观果,全年,全年,果树栽培；果实可食可加工；叶可编织；树干可作建筑用材,海南、台湾、广东、广西、云南有栽培,东南亚、大洋洲、非洲、美洲热带沿海地区,生于热带海岸地区
尾叶桉,尾叶桉,Eucalyptus urophylla S. T. Blake,桃金娘科,乔木,观叶/观株型,4-9月,10月至翌年3月,园林绿化；速生造林树种；木材可作纸浆及建筑用材,广东、广西、海南、云南、福建有栽培,印度尼西亚帝汶岛,生于低海拔地区
柠檬桉,柠檬桉,Eucalyptus citriodora Hook. f.,桃金娘科,乔木,观叶/观株型,4-5月,9-10月,园林绿化、行道树；叶可提取柠檬桉油；木材可作建筑用材,广东、广西、海南、云南、福建、台湾有栽培,澳大利亚,生于低海拔地区
腊肠树,腊肠树,Cassia fistula L.,豆科,乔木,观花,6-8月,10月至翌年4月,园林绿化、行道树；果实可药用,广东、广西、海南、云南、福建、台湾有栽培,印度、缅甸、泰国、斯里兰卡,生于热带地区
毛麻楝,麻楝,Chukrasia tabularis A. Juss.,楝科,乔木,观叶/观株型,4-5月,翌年1-3月,园林绿化、庭荫树、行道树；木材可作家具、建筑用材,广东、广西、云南、海南,印度、缅甸、泰国、越南、马来西亚、印度尼西亚、澳大利亚,生于海拔400-1100米的山地疏林中
银柴,银柴,Aporosa dioica (Roxb.) Müll.Arg.,大戟科,乔木/灌木,观叶,3-5月,7-11月,园林绿化；树皮可提取栲胶；木材可作建筑用材,广东、广西、海南、云南、福建、台湾、贵州、湖南、江西,印度、越南、泰国、马来西亚,生于山坡、沟谷常绿阔叶林中
毛黄肉楠,毛黄肉楠,Actinodaphne pilosa (Lour.) Merr.,樟科,乔木/灌木,观叶,3-4月,7-9月,园林绿化,广东、广西、云南、贵州、四川、湖南,越南,生于山坡密林中或林缘
布渣叶,破布叶,Microcos paniculata L.,锦葵科,乔木/灌木,观花/观叶,6-10月,10月至翌年2月,园林绿化；叶可药用，清热解毒；树皮纤维可制绳索,广东、广西、海南、云南、福建,越南、泰国、柬埔寨、印度,生于平地、山坡、旷野或灌丛中
火焰树,火焰树,Spathodea campanulata Beauv.,紫葳科,乔木,观花,3-6月,4-7月,园林绿化、行道树、庭园观赏,广东、广西、海南、云南、福建、台湾有栽培,热带非洲,生于热带地区
中华灰莉,灰莉,Fagraea ceilanica Thunb.,龙胆科,乔木/灌木,观花/观叶,4-8月,7月至翌年3月,园林绿化、庭园观赏、盆栽；花芳香,台湾、海南、广东、广西、云南,印度、斯里兰卡、缅甸、泰国、越南、马来西亚、菲律宾,生于海拔500-1800米的山地密林及石灰岩地区的阔叶林中
假苹婆,假苹婆,Sterculia lanceolata Cav.,锦葵科,乔木,观花/观果,4-5月,6-8月,园林绿化；种子可食,广东、广西、海南、云南、福建、台湾,越南、印度,生于山坡密林中或沟谷湿润处
山乌桕,山乌桕,Triadica cochinchinensis Lour.,大戟科,乔木,观叶/观果,4-6月,10-11月,园林绿化；种子可提取油脂；叶可药用,广东、广西、海南、云南、贵州、四川、湖南、江西、福建、台湾,越南、泰国、印度,生于山坡、沟谷、溪边的疏林或灌丛中
土密树,土蜜树,Bridelia tomentosa Bl.,大戟科,乔木/灌木,观叶,4-8月,7-12月,园林绿化；根和叶可药用,广东、广西、海南、云南、贵州、湖南、福建、台湾,印度、缅甸、泰国、越南、马来西亚,生于山坡灌丛、疏林或路旁
铁刀木,铁刀木,Senna siamea (Lam.) H. S. Irwin et Barneby,豆科,乔木,观花/观叶,10月至翌年1月,翌年2-5月,园林绿化、行道树；木材极坚硬耐腐可作家具、建筑用材,广东、广西、云南、福建有栽培,印度、缅甸、泰国、斯里兰卡、马来西亚,生于热带地区
水翁,水翁蒲桃,Syzygium nervosum DC.,桃金娘科,乔木,观花/观果,6-7月,8-10月,园林绿化；花蕾可药用（水翁花）,广东、广西、海南、云南、福建,越南、老挝、柬埔寨,生于溪边、河谷及低湿地
楝叶吴茱萸,楝叶吴萸,Tetradium glabrifolium (Champ. ex Benth.) T. G. Hartley,芸香科,乔木,观叶,5-6月,8-10月,园林绿化；果实可药用,广东、广西、海南、云南、贵州、四川、湖南,越南、泰国、印度,生于山坡疏林中或林缘
鸭脚木,鹅掌柴,Heptapleurum heptaphyllum (L.) Y. F. Deng,五加科,乔木/灌木,观叶,11月至翌年2月,翌年2-4月,园林绿化、室内盆栽观赏,广东、广西、海南、福建、台湾、云南、贵州、四川,越南、日本,生于山谷密林中或路旁
银合欢,银合欢,Leucaena leucocephala (Lam.) de Wit,豆科,乔木/灌木,观花/观叶,4-7月,8-12月,饲料；固氮改良土壤；薪炭材,广东、广西、海南、云南、福建、台湾,中美洲、南美洲,生于荒地、路旁及低丘陵上
盐肤木,盐肤木,Rhus chinensis Mill.,漆树科,乔木/灌木,观叶/观果,7-9月,10-11月,园林绿化；果实外被白粉可提取五倍子；叶可药用,全国大部分地区,朝鲜、日本、越南、印度,生于海拔350-2300米的向阳山坡、路旁或沟边
野漆树,野漆,Toxicodendron succedaneum (L.) Kuntze,漆树科,乔木,观叶,4-5月,7-10月,园林绿化；种子可榨油；木材可作家具用材（全株有毒）,广东、广西、云南、贵州、四川、湖南、湖北、福建、台湾,日本、越南、泰国、缅甸、印度,生于山坡、沟谷的疏林或密林中
人面子树,人面子,Dracontomelon duperreanum Pierre,漆树科,乔木,观叶/观果,4-5月,7-9月,园林绿化、庭荫树、行道树；果实可食可加工；木材可作建筑用材,广东、广西、海南、云南,越南、老挝,生于低海拔地区山坡林中
山茶花,山茶,Camellia japonica L.,山茶科,乔木/灌木,观花,1-4月,9-10月,园林绿化、庭园观赏；种子可榨油；花可药用,山东、浙江、江西、四川、云南、台湾、广东等地广泛栽培,日本、朝鲜,生于山坡、沟谷的常绿阔叶林中
落羽杉,落羽杉,Taxodium distichum (L.) Rich.,柏科,乔木,观叶/观株型,3-4月,10-11月,园林绿化、行道树、水边防护林；木材可作建筑用材,长江流域以南各地有栽培,北美洲东南部,生于河岸、湖边及沼泽湿地
池杉,池杉,Taxodium distichum var. imbricarium (Nutt.) Croom,柏科,乔木,观叶/观株型,3-4月,10-11月,园林绿化、水边防护林；木材可作建筑用材,长江流域以南各地有栽培,北美洲东南部,生于河岸、湖边及沼泽湿地
马尾松,马尾松,Pinus massoniana Lamb.,松科,乔木,观叶/观株型,4-5月,翌年10-12月,园林绿化、造林；木材可作建筑、造纸用材；松脂可提取松节油,陕西、河南及长江流域以南各地,无,生于海拔100-2600米的山坡、丘陵
湿地松,湿地松,Pinus elliottii Engelm.,松科,乔木,观叶/观株型,3-4月,翌年9-10月,园林绿化、造林；木材可作建筑、造纸用材；松脂可提取松节油,广东、广西、湖南、江西、福建、浙江有栽培,美国东南部,生于低海拔地区
罗汉松,罗汉松,Podocarpus macrophyllus (Thunb.) D. Don,罗汉松科,乔木/灌木,观叶/观株型,4-5月,8-9月,园林绿化、庭园观赏、盆景,长江流域以南各地,日本,生于山坡林中或栽培于庭园中
香樟,樟,Camphora officinarum Nees,樟科,乔木,观叶/观株型,4-5月,8-11月,园林绿化、行道树、庭荫树；全株可提取樟脑和樟油；木材可作家具,长江流域以南各地,日本、朝鲜、越南,生于山坡或沟谷中
潺槁木姜子,潺槁木姜子,Litsea glutinosa (Lour.) C. B. Rob.,樟科,乔木/灌木,观叶,8-9月,翌年3-4月,园林绿化；树皮可提取胶液；叶可提取芳香油,广东、广西、海南、云南、贵州、四川、福建、台湾,印度、缅甸、泰国、越南、马来西亚,生于山坡、路旁的疏林或灌丛中
假柿木姜子,假柿木姜子,Litsea monopetala (Roxb.) Pers.,樟科,乔木/灌木,观叶,9-10月,翌年4-5月,园林绿化；木材可作建筑用材,广东、广西、海南、云南、贵州,印度、缅甸、尼泊尔,生于山坡、沟谷密林中或林缘
杨桃,杨桃,Averrhoa carambola L.,酢浆草科,乔木,观花/观果,4-12月,7月至翌年2月,果树栽培；果实可食；根、叶可药用,广东、广西、海南、福建、台湾、云南有栽培,马来西亚、印度尼西亚,生于热带及亚热带地区
红果仔,红果仔,Eugenia uniflora L.,桃金娘科,乔木/灌木,观花/观果,4-5月,5-7月,园林绿化、庭园观赏、绿篱；果实可食,广东、广西、海南、福建、台湾有栽培,巴西,生于热带及亚热带地区
毛果杜英,毛果杜英,Elaeocarpus rugosus Roxb.,杜英科,乔木,观花/观叶,4-5月,9-10月,园林绿化、行道树；木材可作建筑用材,广东、广西、海南、云南、贵州、湖南、江西、福建、台湾,日本,生于山坡、沟谷的常绿阔叶林中
木棉,木棉,Bombax ceiba L.,锦葵科,乔木,观花,3-4月,5-6月,园林绿化、行道树；花可药用；果内棉毛可作填充物,广东、广西、海南、云南、福建、台湾、四川,印度、斯里兰卡、缅甸、泰国、越南、马来西亚、印度尼西亚、澳大利亚,生于热带及亚热带的干热河谷及稀树草原
美丽异木棉,美丽异木棉,Ceiba speciosa (A.St.-Hil.) Ravenna,锦葵科,乔木,观花,9-12月,翌年3-5月,园林绿化、行道树；果内棉毛可作填充物,广东、广西、海南、福建、台湾、云南有栽培,阿根廷、巴西、玻利维亚,生于热带及亚热带地区
黄花风铃木,黄花风铃木,Handroanthus chrysanthus (Jacq.) S. O. Grose,紫葳科,乔木,观花,3-4月,5-6月,园林绿化、行道树,广东、广西、海南、云南、福建有栽培,墨西哥、中美洲、委内瑞拉,生于热带及亚热带地区
秋枫,秋枫,Bischofia javanica Bl.,叶下珠科,乔木,观叶/观株型,4-5月,8-10月,园林绿化、行道树、庭荫树；木材坚硬可作建筑用材；果实可食可酿酒,福建、广东、广西、浙江、江西、台湾、四川、云南、海南、湖南,印度、缅甸、马来西亚、日本、菲律宾、越南、澳大利亚,生于低山丘陵、河边、堤岸及平原湿润地
血桐,血桐,Macaranga tanarius var. tomentosa (Blume) Müll. Arg.,大戟科,乔木,观叶,4-7月,8-10月,园林绿化；先锋树种,广东、广西、海南、云南、台湾、福建,日本、菲律宾、马来西亚、印度尼西亚,生于山坡、沟谷及路旁的疏林或灌丛中
